term,tf,df,doc_frac,idf,jargon_score
longer,166,156,0.0156,5.154194561628208,26.37913587440526
subtle,166,128,0.0128,5.350627962614844,27.38448080520684
wet,166,123,0.0123,5.390158801371479,27.586799393362945
information,166,163,0.0163,5.110573939152317,26.155885798479883
populations,166,165,0.0165,5.098452578619972,26.09384875027727
versus,166,125,0.0125,5.374158460025038,27.504909745355302
cellulitis,166,157,0.0157,5.147845333949549,26.34664056643226
symmetric,165,147,0.0147,5.213228093212401,26.649958350419066
good,165,113,0.0113,5.47424191858202,27.984257838300785
mural,165,124,0.0124,5.3821266296742145,27.513365606283145
visceral,165,159,0.0159,5.135266551742689,26.251419902464445
accessory,165,106,0.0106,5.53761153251461,28.308202530877054
questionable,165,124,0.0124,5.3821266296742145,27.513365606283145
architecture,165,150,0.015,5.193160530161592,26.54737321316125
tarsal,165,96,0.0096,5.635729388473133,28.809779812356748
periphery,164,151,0.0151,5.18655984613024,26.48229177146319
colitis,164,159,0.0159,5.135266551742689,26.220391007143625
rd,163,136,0.0136,5.290459441148391,26.98063649167825
sinuses,163,120,0.012,5.414649821379775,27.61399084247901
dimension,163,138,0.0138,5.2759664338458245,26.906724090297683
gas-distended,163,153,0.0153,5.1734877645628865,26.38409656525353
tubular,163,119,0.0119,5.42294862419447,27.656313628344805
shift,163,136,0.0136,5.290459441148391,26.98063649167825
urethral,162,107,0.0107,5.528309139852296,28.159825791244494
hypoattenuating,162,96,0.0096,5.635729388473133,28.706997704227593
salivary,162,89,0.0089,5.710630696646251,29.0885262577751
border,162,150,0.015,5.193160530161592,26.45266249333236
stifles,162,125,0.0125,5.374158460025038,27.374620734919898
dystrophic,162,155,0.0155,5.160584359726979,26.286727618639535
nearly,161,149,0.0149,5.1998050728802605,26.45450923270837
pneumothorax,161,117,0.0117,5.439755742510851,27.675281380157518
ducts,161,152,0.0152,5.180002445584081,26.353761458648354
surrounded,161,148,0.0148,5.206494061031057,26.488540104310776
plate,161,108,0.0108,5.519092484747373,28.078914699209324
condyle,160,100,0.01,5.595319850135256,28.432082709961502
gravity-dependent,160,154,0.0154,5.167015250057269,26.255693845582297
aortic,160,100,0.01,5.595319850135256,28.432082709961502
medullary,160,123,0.0123,5.390158801371479,27.389576461248456
hair,160,121,0.0121,5.406419322243259,27.47220274298324
primarily,160,141,0.0141,5.254613309375255,26.700815006564877
st,160,149,0.0149,5.1998050728802605,26.42231219440211
skull,159,104,0.0104,5.556480016818993,28.200101886229767
extremity,159,140,0.014,5.261680476598348,26.703942978958974
mucosa,159,138,0.0138,5.2759664338458245,26.77644669510692
technique,158,146,0.0146,5.22000778019778,26.45971937266683
infrapatellar,158,146,0.0146,5.22000778019778,26.45971937266683
invasion,158,117,0.0117,5.439755742510851,27.573600742264887
blood,158,131,0.0131,5.3276384443901454,27.005288898679265
following,158,146,0.0146,5.22000778019778,26.45971937266683
extrahepatic,157,138,0.0138,5.2759664338458245,26.710081462404872
valvular,157,157,0.0157,5.147845333949549,26.061456218444036
hypoinflation,157,136,0.0136,5.290459441148391,26.783453689188466
regenerative,156,145,0.0145,5.22683374526818,26.42815619976522
young,156,130,0.013,5.335243043775365,26.976300260602926
pyelectesia,156,79,0.0079,5.828413732302635,29.46989248578967
fatsat,156,59,0.0059,6.116095804754416,30.924483757897896
contributing,155,149,0.0149,5.1998050728802605,26.258266883811
food,155,134,0.0134,5.305165588538086,26.79032231673258
postprandial,155,153,0.0153,5.1734877645628865,26.12536826630987
rightward,155,140,0.014,5.261680476598348,26.570728762977772
accompanied,154,129,0.0129,5.342905916520934,26.946545896718128
syringe,154,93,0.0093,5.667145584706512,28.581824383146834
pad,154,135,0.0135,5.297785481240464,26.718984360138272
position,154,129,0.0129,5.342905916520934,26.946545896718128
rotated,154,146,0.0146,5.22000778019778,26.326718349163368
ureter,154,75,0.0075,5.879707026690185,29.653862098535864
nd,153,134,0.0134,5.305165588538086,26.72186761742215
while,152,146,0.0146,5.22000778019778,26.25892508747046
gauge,152,129,0.0129,5.342905916520934,26.877156532898912
after,152,143,0.0143,5.240627067400515,26.36264913172718
situ,152,131,0.0131,5.3276384443901454,26.80035446212839
centrally,152,130,0.013,5.335243043775365,26.838608927252796
leftward,151,137,0.0137,5.283186681819311,26.54209865878651
teeth,151,77,0.0077,5.853731540286924,29.40844785951095
services,151,103,0.0103,5.5660494678351435,27.96316749952376
keep,149,102,0.0102,5.57571137874688,27.937856224043212
faintly,149,129,0.0129,5.342905916520934,26.771352958355493
digit,149,69,0.0069,5.961945124927157,29.87313266442512
ulnar,148,87,0.0087,5.733103552498309,28.688142343126703
high,148,138,0.0138,5.2759664338458245,26.40065274693505
pericardial,148,117,0.0117,5.439755742510851,27.220245652982772
physes,147,126,0.0126,5.366253280517925,26.81630675753112
muscles,147,108,0.0108,5.519092484747373,27.580076704818854
first,147,116,0.0116,5.44826643217876,27.226143885620722
thin-walled,147,124,0.0124,5.3821266296742145,26.895629252760674
ventrolateral,146,97,0.0097,5.625472888305944,28.07354321784228
reduction,146,132,0.0132,5.320091238754762,26.549556682517817
rostral,146,93,0.0093,5.667145584706512,28.28150799993861
delineated,146,132,0.0132,5.320091238754762,26.549556682517817
well-circumscribed,146,119,0.0119,5.42294862419447,27.062859530606996
osteomas,145,117,0.0117,5.439755742510851,27.109602738853024
parenchymal,145,139,0.0139,5.268797944367211,26.257616323991705
effacement,145,140,0.014,5.261680476598348,26.222145664489002
peripherally,145,121,0.0121,5.406419322243259,26.943467134063404
field-of-view,145,132,0.0132,5.320091238754762,26.51324192555074
arising,145,123,0.0123,5.390158801371479,26.862431094574372
active,145,140,0.014,5.261680476598348,26.222145664489002
fragments,145,110,0.011,5.500910165664182,27.41437232702672
antrum,144,120,0.012,5.414649821379775,26.94727046945226
indicate,144,137,0.0137,5.283186681819311,26.293013426917156
management,144,138,0.0138,5.2759664338458245,26.257080175198862
despite,144,142,0.0142,5.247595736716609,26.1158867694999
hematoma,144,119,0.0119,5.42294862419447,26.98857140144185
inlet,144,128,0.0128,5.350627962614844,26.628650724684345
typically,144,138,0.0138,5.2759664338458245,26.257080175198862
frequency,143,75,0.0075,5.879707026690185,29.221046178855346
terminating,143,124,0.0124,5.3821266296742145,26.748164504157067
metaplasia,143,124,0.0124,5.3821266296742145,26.748164504157067
craniodorsal,143,118,0.0118,5.431316873864986,26.992630833945757
ventricular,143,125,0.0125,5.374158460025038,26.708564188661313
your,143,143,0.0143,5.240627067400515,26.044938097685055
positioned,143,122,0.0122,5.398256011604099,26.828324520986147
reconstruction,142,73,0.0073,5.906375273772346,29.312422811740973
outside,142,141,0.0141,5.254613309375255,26.077829446525225
hazy,142,132,0.0132,5.320091238754762,26.40278623674685
field,141,126,0.0126,5.366253280517925,26.59422320553226
anomalies,141,116,0.0116,5.44826643217876,27.000666201612184
filling,141,114,0.0114,5.465508238613266,27.08611361246223
mixture,141,129,0.0129,5.342905916520934,26.478517707312307
pressure,140,134,0.0134,5.305165588538086,26.25399067637177
variable,140,129,0.0129,5.342905916520934,26.440758497743005
strongly,140,119,0.0119,5.42294862419447,26.836870638995066
emerging,139,131,0.0131,5.3276384443901454,26.32728414912258
infection,139,127,0.0127,5.358410103056899,26.479346683004266
solid,139,119,0.0119,5.42294862419447,26.79827297695015
expected,139,118,0.0118,5.431316873864986,26.839625874524963
intracranial,139,109,0.0109,5.5099600011840995,27.228252088731757
thought,138,123,0.0123,5.390158801371479,26.597598100802536
bronchograms,138,129,0.0129,5.342905916520934,26.364429972242295
lines,138,130,0.013,5.335243043775365,26.326617726426388
fissures,137,112,0.0112,5.483052548264175,27.016390874345262
monitoring,137,134,0.0134,5.305165588538086,26.13989669649348
hind,137,82,0.0082,5.791599759179918,28.53668125637483
lateralized,137,111,0.0111,5.491941495681422,27.060188973264058
incidentally,137,127,0.0127,5.358410103056899,26.402245926870705
glass,137,101,0.0101,5.585467553692245,27.521015587256116
diverticula,137,120,0.012,5.414649821379775,26.679353286229297
airways,137,132,0.0132,5.320091238754762,26.213439161526964
lipoma,136,121,0.0121,5.406419322243259,26.599479942465454
about,136,133,0.0133,5.312600567025605,26.13789345630966
testing,136,124,0.0124,5.3821266296742145,26.479960358388748
distribution,136,130,0.013,5.335243043775365,26.249294010031985
center,136,124,0.0124,5.3821266296742145,26.479960358388748
murmur,136,133,0.0133,5.312600567025605,26.13789345630966
ventricle,135,109,0.0109,5.5099600011840995,27.06853192002729
advanced,135,127,0.0127,5.358410103056899,26.324019572559898
progress,135,135,0.0135,5.297785481240464,26.02619172799749
platform,135,103,0.0103,5.5660494678351435,27.34408011240887
beam,135,117,0.0117,5.439755742510851,26.72364262565668
acetabular,135,119,0.0119,5.42294862419447,26.64107505374457
minute,135,103,0.0103,5.5660494678351435,27.34408011240887
ground,135,100,0.01,5.595319850135256,27.487875399022883
void,135,126,0.0126,5.366253280517925,26.3625503966335
tip,134,102,0.0102,5.57571137874688,27.350396398019235
transit,134,121,0.0121,5.406419322243259,26.519972343062047
cavitated,134,91,0.0091,5.6886517899274756,27.904400148449874
costal,133,131,0.0131,5.3276384443901454,26.093919612682612
fragment,133,94,0.0094,5.656563475375975,27.7049417206451
explain,133,129,0.0129,5.342905916520934,26.16869724532943
solitary,133,120,0.012,5.414649821379775,26.520087397950952
laterality,133,116,0.0116,5.44826643217876,26.68473617226168
hypoinflated,132,127,0.0127,5.358410103056899,26.204496176138946
submucosal,131,101,0.0101,5.585467553692245,27.27273170971229
mostly,131,119,0.0119,5.42294862419447,26.47918396830387
jpeg,131,126,0.0126,5.366253280517925,26.202351835198343
extrathoracic,131,119,0.0119,5.42294862419447,26.47918396830387
homogeneously,131,116,0.0116,5.44826643217876,26.602805809805233
hyperattenuating,131,108,0.0108,5.519092484747373,26.94863539545646
idiopathic,131,129,0.0129,5.342905916520934,26.08835128138651
compressive,130,91,0.0091,5.6886517899274756,27.733299978877866
mg,130,98,0.0098,5.615320516841926,27.375795552624265
conclusively,130,115,0.0115,5.4568501758701515,26.603221370511893
intern,129,129,0.0129,5.342905916520934,26.006778614208603
submucosa,128,117,0.0117,5.439755742510851,26.43619243415187
intensity,128,92,0.0092,5.67784087382326,27.59324150859799
conspicuous,128,103,0.0103,5.5660494678351435,27.049956247075915
irregularity,128,113,0.0113,5.47424191858202,26.60378878040154
endplates,128,114,0.0114,5.465508238613266,26.56134473415366
four,128,119,0.0119,5.42294862419447,26.354512992076348
resolution,128,117,0.0117,5.439755742510851,26.43619243415187
proteinaceous,128,124,0.0124,5.3821266296742145,26.156125756736028
perirenal,128,109,0.0109,5.5099600011840995,26.777371961291138
surgery,127,111,0.0111,5.491941495681422,26.647066344722226
bacterial,127,121,0.0121,5.406419322243259,26.232110170964077
dwi,127,97,0.0097,5.625472888305944,27.29496470291974
urinalysis,127,124,0.0124,5.3821266296742145,26.11424129142698
jon,127,127,0.0127,5.358410103056899,25.999167986524707
cohen,127,127,0.0127,5.358410103056899,25.999167986524707
osteosarcoma,127,123,0.0123,5.390158801371479,26.153213631587104
speckling,126,87,0.0087,5.733103552498309,27.772226194342185
sign,126,112,0.0112,5.483052548264175,26.560932348675188
hip,126,105,0.0105,5.547001272864449,26.870711934579333
human,126,107,0.0107,5.528309139852296,26.780163745223494
larynx,126,94,0.0094,5.656563475375975,27.40145174114963
fluid-filled,126,98,0.0098,5.615320516841926,27.201663134011643
tendon,126,73,0.0073,5.906375273772346,28.611586828986322
metacarpal,125,66,0.0066,6.00574774758555,29.04548916936259
triangular,125,117,0.0117,5.439755742510851,26.30819227574063
generally,125,124,0.0124,5.3821266296742145,26.029481640015142
nasopharynx,124,101,0.0101,5.585467553692245,26.968389718748547
elevation,124,122,0.0122,5.398256011604099,26.064473658302802
abdominocentesis,124,85,0.0085,5.756093070723009,27.79222324656249
parker,124,124,0.0124,5.3821266296742145,25.986595941956548
regular,124,84,0.0084,5.767789110486199,27.84869539602314
brittany,124,124,0.0124,5.3821266296742145,25.986595941956548
thigh,124,75,0.0075,5.879707026690185,28.38907020828109
freeman,124,124,0.0124,5.3821266296742145,25.986595941956548
maxillary,124,71,0.0071,5.933774247960461,28.650123715478127
tracy,124,124,0.0124,5.3821266296742145,25.986595941956548
protocol,124,111,0.0111,5.491941495681422,26.51681656805916
highly,123,110,0.011,5.500910165664182,26.515935865600408
constant,123,122,0.0122,5.398256011604099,26.02111393915181
received,123,123,0.0123,5.390158801371479,25.98208310593468
vessel,123,94,0.0094,5.656563475375975,27.266228645029575
chase,123,122,0.0122,5.398256011604099,26.02111393915181
sinus,123,60,0.006,6.099566502803205,29.401627971644274
spinous,123,91,0.0091,5.6886517899274756,27.420903356133508
defects,123,104,0.0104,5.556480016818993,26.783798194725357
medially,123,110,0.011,5.500910165664182,26.515935865600408
emails,122,122,0.0122,5.398256011604099,25.977403125336345
appreciated,122,114,0.0114,5.465508238613266,26.301033240013812
chondromalacia,122,113,0.0113,5.47424191858202,26.343061318124285
caudodorsally,122,115,0.0115,5.4568501758701515,26.259369045933568
mast,122,103,0.0103,5.5660494678351435,26.784856170345247
evident,122,116,0.0116,5.44826643217876,26.218062488831322
tuesday-friday,122,122,0.0122,5.398256011604099,25.977403125336345
osteomyelitis,121,112,0.0112,5.483052548264175,26.34069983123941
crowding,121,113,0.0113,5.47424191858202,26.298373380828984
greatest,121,77,0.0077,5.853731540286924,28.121449509757205
tomography,121,88,0.0088,5.721803997244376,27.487666816600854
traumatic,121,113,0.0113,5.47424191858202,26.298373380828984
system,121,117,0.0117,5.439755742510851,26.132701065230712
hinders,120,111,0.0111,5.491941495681422,26.33820110195939
dispersed,120,94,0.0094,5.656563475375975,27.127693635775948
so,120,113,0.0113,5.47424191858202,26.25331763744502
subchondral,120,79,0.0079,5.828413732302635,27.95185147320319
part,119,104,0.0104,5.556480016818993,26.601602199454373
crystalluria,119,119,0.0119,5.42294862419447,25.96232175986228
systemic,119,105,0.0105,5.547001272864449,26.55622279104005
silhouettes,118,112,0.0112,5.483052548264175,26.204185247374358
endotracheal,118,102,0.0102,5.57571137874688,26.64701324097849
collapsed,118,112,0.0112,5.483052548264175,26.204185247374358
inner,117,101,0.0101,5.585467553692245,26.646504178851448
deposition,117,109,0.0109,5.5099600011840995,26.2862814590698
rest,117,107,0.0107,5.528309139852296,26.373819412786354
endplate,117,96,0.0096,5.635729388473133,26.88628754123806
extend,117,112,0.0112,5.483052548264175,26.157914487141184
incompletely,117,106,0.0106,5.53761153251461,26.4181981944312
inch,116,103,0.0103,5.5660494678351435,26.506495695519444
wedge-shaped,116,106,0.0106,5.53761153251461,26.371069301176536
features,116,115,0.0115,5.4568501758701515,25.98646967362539
nerve,116,65,0.0065,6.020785624950091,28.672028370142343
end,116,104,0.0104,5.556480016818993,26.460924305320006
capsule,116,106,0.0106,5.53761153251461,26.371069301176536
waist,115,104,0.0104,5.556480016818993,26.413228905029293
gravity,115,99,0.0099,5.605270180988425,26.645157350847573
broad-based,115,100,0.01,5.595319850135256,26.597857555705687
uterine,115,64,0.0064,6.036053097080879,28.69292279528086
strong,115,109,0.0109,5.5099600011840995,26.192091815017147
corrugated,115,109,0.0109,5.5099600011840995,26.192091815017147
emptying,115,106,0.0106,5.53761153251461,26.323535863118934
visibility,115,113,0.0113,5.47424191858202,26.022302687914777
bullae,114,100,0.01,5.595319850135256,26.549412925375425
smoothly,114,102,0.0102,5.57571137874688,26.456372059496626
lobulated,114,92,0.0092,5.67784087382326,26.940969581938056
foramen,114,83,0.0083,5.779623568133203,27.42392155828068
main,114,76,0.0076,5.866634945122832,27.8367846364919
towards,114,103,0.0103,5.5660494678351435,26.410526947990142
hernia,113,100,0.01,5.595319850135256,26.500545192481525
immediately,113,102,0.0102,5.57571137874688,26.407675580716507
calculus,113,76,0.0076,5.866634945122832,27.785547324387682
fasted,113,111,0.0111,5.491941495681422,26.010924790519695
diaphragmatic,113,79,0.0079,5.828413732302635,27.60452407553291
transitional,113,100,0.01,5.595319850135256,26.500545192481525
collected,113,108,0.0108,5.519092484747373,26.139517262806226
meningeal,113,93,0.0093,5.667145584706512,26.8407261251127
anal,113,69,0.0069,5.961945124927157,28.23695525009313
imaged,113,98,0.0098,5.615320516841926,26.59527231910451
eosinophilic,113,105,0.0105,5.547001272864449,26.271698821782895
emh,112,110,0.011,5.500910165664182,26.004935708991738
nucleus,112,95,0.0095,5.64609217550868,26.691267373826793
axillary,112,65,0.0065,6.020785624950091,28.46258862246743
correlate,112,109,0.0109,5.5099600011840995,26.047717791189946
hepatocellular,112,90,0.009,5.699580860459666,26.94412913150303
apparent,111,106,0.0106,5.53761153251461,26.129213765840884
adc,111,83,0.0083,5.779623568133203,27.27114728274704
exploratory,111,104,0.0104,5.556480016818993,26.218244687734163
hyperechogenicity,111,98,0.0098,5.615320516841926,26.495883520678813
results,111,105,0.0105,5.547001272864449,26.173519245083355
pancreaticoduodenal,111,61,0.0061,6.083305981931424,28.70407240948612
bulging,110,99,0.0099,5.605270180988425,26.39818920388044
focally,110,103,0.0103,5.5660494678351435,26.21347807076805
mid-aspect,110,86,0.0086,5.744532248321932,27.054048115884783
enterocolitis,110,108,0.0108,5.519092484747373,25.99233274075368
tarsocrural,109,53,0.0053,6.2214563204122415,29.243833280732876
benefit,109,108,0.0108,5.519092484747373,25.942385861547507
superficial,109,66,0.0066,6.00574774758555,28.22989936942791
convex,109,98,0.0098,5.615320516841926,26.394703837046798
distinct,109,99,0.0099,5.605270180988425,26.347462430697796
staff,109,108,0.0108,5.519092484747373,25.942385861547507
undulating,109,95,0.0095,5.64609217550868,26.53934541443274
white,109,86,0.0086,5.744532248321932,27.00206104389861
major,109,78,0.0078,5.8409925145094945,27.455470631192355
volumes,108,87,0.0087,5.733103552498309,26.895983209613323
non-compressive,108,72,0.0072,5.919980925828125,27.772689979220697
diagnostics,108,104,0.0104,5.556480016818993,26.06738075955234
sharp,108,106,0.0106,5.53761153251461,25.9788621356701
scapula,107,58,0.0058,6.132902923070796,28.715056289031182
characterization,107,101,0.0101,5.585467553692245,26.151892051231588
lesser,107,94,0.0094,5.656563475375975,26.484772486268156
comments,107,98,0.0098,5.615320516841926,26.291667542216896
until,106,92,0.0092,5.67784087382326,26.531578552687712
mottling,106,85,0.0085,5.756093070723009,26.89723767472085
radiation,106,72,0.0072,5.919980925828125,27.66305756967415
enhanced,106,106,0.0106,5.53761153251461,25.876310843183052
hemo,106,78,0.0078,5.8409925145094945,27.29395824367612
setting,106,104,0.0104,5.556480016818993,25.964480040703165
changed,106,106,0.0106,5.53761153251461,25.876310843183052
gray,106,86,0.0086,5.744532248321932,26.843215930455006
mucocele,106,89,0.0089,5.710630696646251,26.684799782251883
thrombus,106,54,0.0054,6.203107181744045,28.9860581021113
range,106,100,0.01,5.595319850135256,26.145971933749095
trochlear,106,77,0.0077,5.853731540286924,27.353485530651845
reflect,105,90,0.009,5.699580860459666,26.579648204720502
affecting,105,97,0.0097,5.625472888305944,26.234050190193464
laterally,105,95,0.0095,5.64609217550868,26.330206980227427
entire,105,102,0.0102,5.57571137874688,26.001990421133694
tplo,105,56,0.0056,6.167389099141966,28.761243433539246
newly,105,67,0.0067,5.990932661800409,27.938349585232892
department,105,103,0.0103,5.5660494678351435,25.956932688064075
developing,105,102,0.0102,5.57571137874688,26.001990421133694
important,105,105,0.0105,5.547001272864449,25.868102590965467
network,105,104,0.0104,5.556480016818993,25.912306136086166
initial,105,87,0.0087,5.733103552498309,26.735979237313387
popliteal,105,66,0.0066,6.00574774758555,28.007438835465944
cincinnati,105,104,0.0104,5.556480016818993,25.912306136086166
full,105,91,0.0091,5.6886517899274756,26.528681149938375
added,104,104,0.0104,5.556480016818993,25.8596376847182
rotation,104,89,0.0089,5.710630696646251,26.577048836584087
cerebellum,104,63,0.0063,6.0515572836168445,28.16370765465976
circumferentially,104,93,0.0093,5.667145584706512,26.37467084979438
stat,104,104,0.0104,5.556480016818993,25.8596376847182
acetabula,104,92,0.0092,5.67784087382326,26.424446301277193
adds,103,103,0.0103,5.5660494678351435,25.85090949258422
largely,103,100,0.01,5.595319850135256,25.98685258975325
each,103,80,0.008,5.815991212304077,27.011736655911253
weekend,103,103,0.0103,5.5660494678351435,25.85090949258422
attention,103,103,0.0103,5.5660494678351435,25.85090949258422
papilla,103,69,0.0069,5.961945124927157,27.689603679391958
vetrad,103,103,0.0103,5.5660494678351435,25.85090949258422
doctors,103,103,0.0103,5.5660494678351435,25.85090949258422
nature,103,95,0.0095,5.64609217550868,26.222659115645826
pyelonephritis,103,103,0.0103,5.5660494678351435,25.85090949258422
turnarounds,103,103,0.0103,5.5660494678351435,25.85090949258422
completing,103,103,0.0103,5.5660494678351435,25.85090949258422
pes,103,60,0.006,6.099566502803205,28.328771154326773
requests,103,103,0.0103,5.5660494678351435,25.85090949258422
stage,103,94,0.0094,5.656563475375975,26.271291925451674
hindering,103,103,0.0103,5.5660494678351435,25.85090949258422
manager,103,103,0.0103,5.5660494678351435,25.85090949258422
myelolipoma,102,98,0.0098,5.615320516841926,26.025488777607897
contrast-enhancement,102,70,0.007,5.947760489935201,27.566257957749574
couple,102,88,0.0088,5.721803997244376,26.519010850996715
fourth,101,71,0.0071,5.933774247960461,27.44354457698345
low,101,87,0.0087,5.733103552498309,26.51544806604815
isointense,101,76,0.0076,5.866634945122832,27.133027126656557
trigone,101,85,0.0085,5.756093070723009,26.62177396282789
lateromedial,101,71,0.0071,5.933774247960461,27.44354457698345
muscular,101,87,0.0087,5.733103552498309,26.51544806604815
fsat,101,39,0.0039,6.521560912862579,30.16204192216678
wide,100,85,0.0085,5.756093070723009,26.565063227541565
pm,100,90,0.009,5.699580860459666,26.304252566503166
laparotomy,100,89,0.0089,5.710630696646251,26.355248892195608
cardiology,100,100,0.01,5.595319850135256,25.823075438648385
pyloroduodenal,100,89,0.0089,5.710630696646251,26.355248892195608
cavities,100,84,0.0084,5.767789110486199,26.61904186061846
tuberosity,100,47,0.0047,6.339239356068625,29.256353613359888
regeneration,100,96,0.0096,5.635729388473133,26.009570328107603
been,100,97,0.0097,5.625472888305944,25.962235343755022
satisfactory,100,100,0.01,5.595319850135256,25.823075438648385
prostatomegaly,99,94,0.0094,5.656563475375975,26.049437471950625
stool,99,93,0.0093,5.667145584706512,26.098169886344483
comminuted,99,53,0.0053,6.2214563204122415,28.650865160189632
cholestasis,99,98,0.0098,5.615320516841926,25.859506628927683
typical,99,94,0.0094,5.656563475375975,26.049437471950625
meal,99,97,0.0097,5.625472888305944,25.90626002731085
noncardiogenic,99,96,0.0096,5.635729388473133,25.953492956093374
medicine,99,99,0.0099,5.605270180988425,25.81322312189597
osteotomy,99,37,0.0037,6.57285420725013,30.269112232074693
organomegaly,99,97,0.0097,5.625472888305944,25.90626002731085
positive,98,81,0.0081,5.803721119712263,26.668794121835166
granulomatous,98,95,0.0095,5.64609217550868,25.944470231369525
detected,98,92,0.0092,5.67784087382326,26.090359305210786
epidural,98,69,0.0069,5.961945124927157,27.395852388965924
workup,97,96,0.0096,5.635729388473133,25.839635964737308
status,97,93,0.0093,5.667145584706512,25.983678202770882
borderline,97,74,0.0074,5.892952253440206,27.01899443538181
necrosis,97,95,0.0095,5.64609217550868,25.88714900628368
support,97,87,0.0087,5.733103552498309,26.286093340055473
elongated,97,80,0.008,5.815991212304077,26.66613056464803
ultrasonographically,97,92,0.0092,5.67784087382326,26.03271575554615
bulbous,97,77,0.0077,5.853731540286924,26.839168741083746
rectum,97,77,0.0077,5.853731540286924,26.839168741083746
help,96,87,0.0087,5.733103552498309,26.22729176251076
metatarsal,96,54,0.0054,6.203107181744045,28.377422525157662
texture,96,87,0.0087,5.733103552498309,26.22729176251076
still,96,88,0.0088,5.721803997244376,26.17559956303839
indicative,96,92,0.0092,5.67784087382326,25.974480979674507
believed,96,83,0.0083,5.779623568133203,26.440107388755855
hemithorax,96,71,0.0071,5.933774247960461,27.145302196105373
sac,96,54,0.0054,6.203107181744045,28.377422525157662
fine-needle,96,82,0.0082,5.791599759179918,26.49489500141792
mid-abdomen,95,79,0.0079,5.828413732302635,26.602909678161833
ingestion,95,93,0.0093,5.667145584706512,25.8668257003401
oblong,95,89,0.0089,5.710630696646251,26.065306892378025
score,95,91,0.0091,5.6886517899274756,25.96498750924574
exhibits,95,85,0.0085,5.756093070723009,26.272812997275107
gre,95,83,0.0083,5.779623568133203,26.380214380573666
etc,95,91,0.0091,5.6886517899274756,25.96498750924574
iv,95,83,0.0083,5.779623568133203,26.380214380573666
six,95,91,0.0091,5.6886517899274756,25.96498750924574
marker,95,91,0.0091,5.6886517899274756,25.96498750924574
biopsy,95,87,0.0087,5.733103552498309,26.167880831343485
made,95,95,0.0095,5.64609217550868,25.770730610143744
hemorrhagic,94,87,0.0087,5.733103552498309,26.107847784875016
histiocytic,94,94,0.0094,5.656563475375975,25.759293696386298
peribronchial,94,71,0.0071,5.933774247960461,27.02167742776152
endocrine,94,93,0.0093,5.667145584706512,25.80748331953102
bronchomalacia,94,94,0.0094,5.656563475375975,25.759293696386298
exclude,94,94,0.0094,5.656563475375975,25.759293696386298
stenosis,94,73,0.0073,5.906375273772346,26.896905872352704
stranding,93,81,0.0081,5.803721119712263,26.368015880938948
confirmed,93,90,0.009,5.699580860459666,25.89487598445238
am,93,88,0.0088,5.721803997244376,25.995842245852028
screws,93,60,0.006,6.099566502803205,27.712128666294696
subsequent,93,89,0.0089,5.710630696646251,25.94507864754383
enthesophytosis,93,78,0.0078,5.8409925145094945,26.537350814449137
beyond,93,92,0.0092,5.67784087382326,25.796104816600575
casts,93,88,0.0088,5.721803997244376,25.995842245852028
colic,93,46,0.0046,6.360292765266458,28.89668493414475
constipation,93,88,0.0088,5.721803997244376,25.995842245852028
safety,92,66,0.0066,6.00574774758555,27.221649196712576
preserved,92,80,0.008,5.815991212304077,26.361558821073253
symptoms,92,89,0.0089,5.710630696646251,25.884001801204224
multicentric,92,73,0.0073,5.906375273772346,26.77123357227346
clear,92,90,0.009,5.699580860459666,25.833917319305485
turbinates,92,60,0.006,6.099566502803205,27.646892039060386
sclerotic,92,85,0.0085,5.756093070723009,26.09006453490208
contralateral,91,79,0.0079,5.828413732302635,26.354854637041818
innumerable,91,70,0.007,5.947760489935201,26.894515442412594
unusual,91,79,0.0079,5.828413732302635,26.354854637041818
edge,91,77,0.0077,5.853731540286924,26.4693364119811
tapering,91,86,0.0086,5.744532248321932,25.975560300951955
tortuous,91,77,0.0077,5.853731540286924,26.4693364119811
assess,91,88,0.0088,5.721803997244376,25.87278795485316
hilus,91,86,0.0086,5.744532248321932,25.975560300951955
rupture,91,85,0.0085,5.756093070723009,26.027835895626435
implant,90,50,0.005,6.27861473425219,28.321948961758256
axial,90,69,0.0069,5.961945124927157,26.893496844109453
steroid,90,84,0.0084,5.767789110486199,26.017686340621037
borders,90,78,0.0078,5.8409925145094945,26.347896611568913
congruent,90,80,0.008,5.815991212304077,26.235119249840302
alternatively,90,89,0.0089,5.710630696646251,25.759852766173683
aerated,90,72,0.0072,5.919980925828125,26.70420223767022
infiltration,90,83,0.0083,5.779623568133203,26.071069916402493
fossa,89,71,0.0071,5.933774247960461,26.700854742529177
respectively,89,87,0.0087,5.733103552498309,25.797874806536687
groundglass,89,65,0.0065,6.020785624950091,27.092389378135866
applied,89,80,0.008,5.815991212304077,26.170853499681726
five,89,88,0.0088,5.721803997244376,25.74702895853461
scapulohumeral,89,73,0.0073,5.906375273772346,26.57756457352037
tear,89,84,0.0084,5.767789110486199,25.953953215791397
intermittent,88,78,0.0078,5.8409925145094945,26.2180914359605
suggests,88,86,0.0086,5.744532248321932,25.785116376916964
continues,88,78,0.0078,5.8409925145094945,26.2180914359605
peripancreatic,88,81,0.0081,5.803721119712263,26.050793697722998
computed,88,85,0.0085,5.756093070723009,25.83700870481045
